faithfulness_result
"[{'claim': 'The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9989917874336243, 'neutral': 0.0007802279433235526, 'entailment': 0.00022798424470238388}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987686276435852, 'neutral': 0.000930259411688894, 'entailment': 0.00030111713567748666}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that employee onboarding is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9983882904052734, 'neutral': 0.0014853151515126228, 'entailment': 0.0001263936865143478}}]"
"[{'claim': 'The key point is that mauryan empire overview is not linked to causal factor number 10; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9991816878318787, 'neutral': 0.00041385117219761014, 'entailment': 0.0004045522364322096}}]"
"[{'claim': 'The key point is that loan repayment is linked to increase number 3, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.648810625076294, 'neutral': 0.3287345767021179, 'contradiction': 0.022454820573329926}}]"
"[{'claim': 'The key point is that cancellation policy benchmark is linked to guideline number 2, and the passage also mentions a required step.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9346191883087158, 'neutral': 0.06393159925937653, 'contradiction': 0.0014491984620690346}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that record keeping guidance is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994621872901917, 'neutral': 0.0003521259350236505, 'entailment': 0.0001857583993114531}}]"
"[{'claim': 'The key point is that machine learning workflow is linked to recommended action number 2, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9662670493125916, 'contradiction': 0.0334705151617527, 'entailment': 0.0002623967011459172}}]"
"[{'claim': 'The key point is that industrial revolution is linked to decrease number 10, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6505976319313049, 'neutral': 0.2856968939304352, 'contradiction': 0.0637054517865181}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that protein intake policy is linked to deadline number 9.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8228245377540588, 'entailment': 0.11285747587680817, 'contradiction': 0.06431802362203598}}]"
"[{'claim': 'The key point is that hypertension benchmark is linked to decrease number 10, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5812260508537292, 'neutral': 0.3852500319480896, 'contradiction': 0.03352393954992294}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that linear algebra policy is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994046688079834, 'neutral': 0.0004963490646332502, 'entailment': 9.906233026413247e-05}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that mauryan empire is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995331764221191, 'neutral': 0.0003842993755824864, 'entailment': 8.255696593550965e-05}}]"
"[{'claim': 'The key point is that habitat loss workflow is linked to increase number 9, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7033606171607971, 'entailment': 0.26464536786079407, 'contradiction': 0.03199395537376404}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that spices policy is linked to guideline number 17.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8021776676177979, 'entailment': 0.18970887362957, 'contradiction': 0.00811333954334259}}]"
"[{'claim': 'The key point is that influenza policy is not linked to guideline number 12; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995124340057373, 'neutral': 0.0002915607765316963, 'entailment': 0.00019596055790316314}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that set pieces overview is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9966880679130554, 'neutral': 0.002537635387852788, 'entailment': 0.0007743378519080579}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that termination guidance is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9988775849342346, 'neutral': 0.0009668751736171544, 'entailment': 0.0001555616472614929}}]"
"[{'claim': 'The key point is that recovery workflow is linked to warning sign number 13, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'entailment': 0.49179959297180176, 'neutral': 0.47674232721328735, 'contradiction': 0.0314580537378788}}]"
"[{'claim': 'The key point is that force and motion guidance is linked to recommended action number 4.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8045475482940674, 'entailment': 0.14522024989128113, 'contradiction': 0.05023214593529701}}]"
"[{'claim': 'The key point is that notice period is linked to decrease number 8, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9327753186225891, 'contradiction': 0.06659440696239471, 'entailment': 0.0006302910041995347}}]"
"[{'claim': 'Since habitat loss mentions a weekly review, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9501863718032837, 'contradiction': 0.03967953845858574, 'entailment': 0.01013418473303318}}]"
"[{'claim': 'The key point is that trade routes is linked to deadline number 17, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9188891649246216, 'neutral': 0.07937275618314743, 'contradiction': 0.001738114282488823}}]"
"[{'claim': 'Since customer retention mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6453592777252197, 'contradiction': 0.3189532160758972, 'entailment': 0.035687509924173355}}]"
"[{'claim': 'The key point is that data retention guidance is linked to decrease number 16, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9433750510215759, 'contradiction': 0.05580601096153259, 'entailment': 0.0008188836509361863}}]"
"[{'claim': 'The key point is that emergency contacts is linked to comparison number 11, and the passage also mentions a priority order.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8358374834060669, 'neutral': 0.16097255051136017, 'contradiction': 0.0031899851746857166}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that daily spending is linked to guideline number 1, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6223374605178833, 'neutral': 0.361684113740921, 'contradiction': 0.01597842574119568}}]"
"[{'claim': 'The key point is that monthly expenses policy is linked to causal factor number 2, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7813577055931091, 'neutral': 0.21673046052455902, 'contradiction': 0.0019117812626063824}}]"
"[{'claim': 'The key point is that notice period is not linked to comparison number 3; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995362758636475, 'neutral': 0.00026111898478120565, 'entailment': 0.00020264199702069163}}]"
"[{'claim': 'The key point is that monthly expenses is linked to procedure number 4, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6551380753517151, 'neutral': 0.31991150975227356, 'contradiction': 0.024950414896011353}}]"
"[{'claim': 'The key point is that recycling guidance is linked to decrease number 11, and the passage also mentions a best practice.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7967581748962402, 'neutral': 0.1997707039117813, 'contradiction': 0.003471095347777009}}]"
"[{'claim': 'The key point is that daily spending workflow is linked to comparison number 15, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9347792267799377, 'neutral': 0.06432057917118073, 'contradiction': 0.0009002041188068688}}]"
"[{'claim': 'The key point is that win rate is not linked to decrease number 7; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9979238510131836, 'neutral': 0.001313986605964601, 'entailment': 0.0007621615077368915}}]"
"[{'claim': 'Since influenza guidance mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.6850731372833252, 'neutral': 0.2872742712497711, 'entailment': 0.027652636170387268}}]"
"[{'claim': 'The key point is that research methods workflow is linked to guideline number 7, and the passage also mentions a exception clause.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8964802026748657, 'neutral': 0.10151772946119308, 'contradiction': 0.0020021230448037386}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'Since data retention benchmark mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9726254940032959, 'contradiction': 0.018937479704618454, 'entailment': 0.008437029086053371}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that capital gains is linked to causal factor number 8, and it also causes a completely unsupported major issue.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.6484176516532898, 'neutral': 0.3506685495376587, 'entailment': 0.0009137889137491584}}]"
"[{'claim': 'The key point is that linear algebra benchmark is not linked to threshold number 1; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995365142822266, 'neutral': 0.00023858106578700244, 'entailment': 0.0002249149838462472}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that rail schedules is linked to decrease number 4, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6390513181686401, 'neutral': 0.33866727352142334, 'contradiction': 0.022281428799033165}}]"
"[{'claim': 'Since mauryan empire mentions a required step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9603337049484253, 'contradiction': 0.031617697328329086, 'entailment': 0.008048554882407188}}]"
"[{'claim': 'The key point is that stamina policy is not linked to comparison number 4; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995718598365784, 'neutral': 0.00021501447190530598, 'entailment': 0.0002131866494892165}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that final revision guidance is linked to recommended action number 6, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9046884775161743, 'contradiction': 0.0947299599647522, 'entailment': 0.0005816060001961887}}]"
"[{'claim': 'The key point is that trade routes is linked to guideline number 15, and the passage also mentions a follow-up action.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9036890268325806, 'neutral': 0.09476279467344284, 'contradiction': 0.0015482205199077725}}]"
"[{'claim': 'The key point is that photosynthesis policy is linked to deadline number 14, and the passage also mentions a exception clause.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.713709831237793, 'neutral': 0.2842200994491577, 'contradiction': 0.0020700630266219378}}]"
"[{'claim': 'The key point is that overfitting guidance is linked to warning sign number 1, and the passage also mentions a weekly review.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8466121554374695, 'neutral': 0.15239018201828003, 'contradiction': 0.0009977283189073205}}]"
"[{'claim': 'The key point is that machine learning benchmark is linked to procedure number 5, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6602588295936584, 'contradiction': 0.270786851644516, 'entailment': 0.06895431131124496}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The answer concerns an unrelated topic and says that overfitting is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9978703260421753, 'neutral': 0.0019549408461898565, 'entailment': 0.00017478427616879344}}]"
"[{'claim': 'The key point is that emergency contacts is linked to increase number 8, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'entailment': 0.47622331976890564, 'neutral': 0.36939775943756104, 'contradiction': 0.15437892079353333}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that carbon emissions is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995213747024536, 'neutral': 0.00032801053021103144, 'entailment': 0.0001505637919763103}}]"
